Date,Close/Last,Volume,Open,High,Low
09/20/2024,$1.37,12115950,$1.42,$1.42,$1.37
09/19/2024,$1.43,11436940,$1.52,$1.5259,$1.41
09/18/2024,$1.45,15438130,$1.49,$1.57,$1.42
09/17/2024,$1.51,18920570,$1.36,$1.5459,$1.36
09/16/2024,$1.37,7505059,$1.37,$1.39,$1.30
09/13/2024,$1.37,10807100,$1.34,$1.39,$1.34
09/12/2024,$1.32,9859452,$1.34,$1.35,$1.29
09/11/2024,$1.34,14742770,$1.27,$1.34,$1.24
09/10/2024,$1.28,12783610,$1.28,$1.3095,$1.23
09/09/2024,$1.28,17667860,$1.38,$1.40,$1.26
09/06/2024,$1.31,16214870,$1.40,$1.42,$1.31
09/05/2024,$1.39,36087480,$1.45,$1.4792,$1.30
09/04/2024,$1.69,14150010,$1.69,$1.7594,$1.66
09/03/2024,$1.70,15644390,$1.88,$1.88,$1.69
08/30/2024,$1.88,7117298,$1.90,$1.96,$1.86
08/29/2024,$1.86,9470781,$1.81,$1.94,$1.80
08/28/2024,$1.77,7976977,$1.80,$1.835,$1.74
08/27/2024,$1.83,7030324,$1.83,$1.86,$1.77
08/26/2024,$1.84,11668390,$1.91,$1.92,$1.83
08/23/2024,$1.92,14436770,$1.85,$2.00,$1.84
08/22/2024,$1.82,8310039,$1.91,$1.925,$1.82
08/21/2024,$1.93,9611144,$1.81,$1.94,$1.81
08/20/2024,$1.81,5710876,$1.88,$1.88,$1.78
08/19/2024,$1.88,7753623,$1.79,$1.90,$1.78
08/16/2024,$1.79,7641367,$1.78,$1.85,$1.76
08/15/2024,$1.79,5920558,$1.79,$1.83,$1.76
08/14/2024,$1.74,7676717,$1.81,$1.85,$1.73
08/13/2024,$1.78,7583880,$1.66,$1.80,$1.66
08/12/2024,$1.64,6442838,$1.69,$1.695,$1.62
08/09/2024,$1.69,8437001,$1.78,$1.78,$1.665
08/08/2024,$1.77,9544302,$1.66,$1.79,$1.63
08/07/2024,$1.59,14672290,$1.78,$1.83,$1.58
08/06/2024,$1.76,9157233,$1.92,$1.92,$1.75
08/05/2024,$1.86,13449490,$1.68,$1.92,$1.66
08/02/2024,$1.92,10578120,$1.84,$1.92,$1.82
08/01/2024,$1.99,13482040,$2.20,$2.22,$1.95
07/31/2024,$2.17,21231010,$2.03,$2.27,$2.03
07/30/2024,$2.03,8237615,$2.09,$2.1101,$1.98
07/29/2024,$2.09,10653220,$2.23,$2.24,$2.04
07/26/2024,$2.19,16890600,$2.12,$2.24,$2.05
07/25/2024,$2.03,13897930,$1.96,$2.13,$1.93
07/24/2024,$1.93,17389710,$2.08,$2.12,$1.93
